TI,DO,pub_id
Poor oral Hygiene may be the Sole Cause of Oral Cancer,10.1007/s12663-012-0359-5,24293926
Attitude of cleft care specialists in africa towards presurgical orthopaedics,,26852454
Nasofacial indices among children in Southern Nigeria,,Unknown
"A comparison of chronic periodontitis in HIV-seropositive subjects and the general population in the Ga-Rankuwa Area, South Africa",10.1155/2012/620962,22970354
Halitosis amongst students in tertiary institutions in Lagos state,10.4314/ahs.v12i4.12,23515705
"Barriers to oral health care utilization in Ibadan, South West Nigeria",10.4314/ahs.v12i4.17,23515140
"Prevalence and factors associated with anterior open bite in 2 to 5 year old children in Benin city, Nigeria",10.4314/ahs.v12i4.8,23513076
"The assessment of CD4 lymphocyte counts in patients with chronic periodontitis in Benin City, Nigeria",10.1016/S2222-1808(12)60236-9,Unknown
"Illness-related behaviour and sociodemographic determinants of oral health care use in Dabou, Côte d'Ivoire",10.1922/CDH_2710Sangaré07,22482255
Cameroon mid-level providers offer a promising public health dentistry model,10.1186/1478-4491-10-46,23181636
Socio-demographic and behavioural correlates of oral health related quality of life among tanzanian adults: A national pathfinder survey,10.4314/thrb.v14i3.8,26591759
"Aetiology, pattern and management of oral and maxillofacial injuries at mulago national referral hospital",,26852446
The influence of impaction on the rate of third molar mineralisation in male black Africans,10.1007/s00414-012-0753-z,22885908
Oral health of psychiatric patients: The nurse's perspective,10.1111/j.1601-5037.2011.00537.x,22192470
Technical quality of root canal fillings done in a Nigerian general dental clinic,10.1186/1472-6831-12-42,23066650
First report of HIV-related oral manifestations in Mali,,22368761
Oral health-related quality of life following non-surgical (routine) tooth extraction: A pilot study,10.4103/0976-237X.107433,23633803
Pattern of presentation and management of lip injuries in a Nigerian hospital,10.4103/1119-3077.104520,23238194
A comparative study of the effect of suture-less and multiple suture techniques on inflammatory complications following third molar surgery,10.1016/j.ijom.2012.04.009,22591717
Groundwater fluoride and dental fluorosis in southwestern Nigeria,10.1007/s10653-012-9455-1,22539221
